,City,State,Lat,Lng,Airport Name,Airport Address,Airport Rating
0,San Francisco, California,37.7749295,-122.4194155,San Francisco International Airport,San Francisco,4.2
1,New York City, New York,40.7127753,-74.0059728,Newark Liberty International Airport,"3 Brewster Rd, Newark",3.7
2,Austin, Texas,30.267153,-97.7430608,Austin-Bergstrom International Airport,"3600 Presidential Blvd, Austin",4.2
3,Minneapolis, Minnesota,44.977753,-93.2650108,Minneapolis−Saint Paul International Airport,Minnesota,4.3
4,Seattle, Washington,47.6062095,-122.3320708,Seattle-Tacoma International Airport,"17801 International Blvd, Seattle",4.1
5,Miami, Florida,25.7616798,-80.1917902,Miami International Airport,"2100 NW 42nd Ave, Miami",4.1
